eventID,eventDate,eventTime,decimalLatitude,decimalLongitude,verbatimIdentification,scientificName,vernacularName,eventRemarks
bsp1691535,2015-06-25,2015-06-25 15:40:13 UTC,39.950155,-75.2004,House Sparrow,Passer domesticus,House Sparrow,"Found dead and flattened under the bridge, probably run over by a cyclist."
bsp1738016,2015-07-08,2015-07-08 12:45:00 UTC,39.951161,-75.200161,Chimney Swift,Chaetura pelagica,Chimney Swift,"2 dead Chimney Swifts found on ramp to basement of Rosenthal Bldg (West side of building).  Bodies in terrible condition, may have been there for a week or more.  Checked the area because I noticed that the sparrows that flushed when I walked by headed right toward the mirrored windows, turning away only at the last second."
bsp1738069,2015-07-08,2015-07-08 12:45:00 UTC,39.951086,-75.200188,European Starling,Sturnus vulgaris,European Starling,"Dead Starling, body just bones and feathers - dead over a week.  Found at the same time (and in the same area) as 2 dead Chimney Swifts."
bsp1945235,2015-09-14,2015-09-14 12:38:00 UTC,39.94979,-75.200025,Gray Catbird,Dumetella carolinensis,Gray Catbird,"Dead catbird in middle of bank of windows on the west side of Hill Rm 132. Found Monday morning. Not there Friday morning.  Ants had removed the feathers, skin and muscle from much of the skull."
bsp1958906,2015-09-18,,39.954631,-75.196234,Ovenbird,Seiurus aurocapilla,Ovenbird,"Found dead on the awning on the west side of the building, likely after striking the windows near the central hallway of the building."
bsp1959013,2015-09-15,,39.951495,-75.198726,Rose-breasted Grosbeak,Pheucticus ludovicianus,Rose-breasted Grosbeak,Dead Rose-breasted Grosbeak-immature
bsp1959552,2015-09-18,,39.954811,-75.196202,Common Yellowthroat,Geothlypis trichas,Common Yellowthroat,Found dead on the awning of the west side of the building near the dead ovenbird reported earlier in the afternoon. Likely struck the windows in the middle of the building.
bsp2100133,2015-10-12,2015-10-12 12:23:00 UTC,39.95038,-75.200587,House Sparrow,Passer domesticus,House Sparrow,Dead house sparrow under the Ryan-Old Vet south ped bridge.  Most likely struck a window on the bridge.  Body in good shape.
bsp2301473,2015-09-22,,39.954691,-75.19615,Common Yellowthroat,Geothlypis trichas,Common Yellowthroat,"*Update* ID'ed as Common Yellowthroat, 10/23. Found dead after striking the windows on the west side of the building."
bsp2301495,2015-10-16,,39.954112,-75.197006,Tennessee Warbler,Leiothlypis peregrina,Tennessee Warbler,"Unknown warbler (needs ID) found dead on the sidewalk outside the north side of the gym. Likely struck one of the 3rd or 4th floor windows. To help ID: The breast and underside of the warbler was pale-to-deep yellow. Closest ID I could find was a Blue-winged Warbler, but this bird lacks the distinctive dark eye mark."
bsp2301510,2015-10-23,,39.954691,-75.19615,Fox Sparrow,Passerella iliaca,Fox Sparrow,"Wood thrush found dead on the east side of the building, half covered in standing water above the eave of the entrance. Likely struck the windows of the side of the building."
bsp2306877,2015-10-23,,39.951089,-75.200173,White-throated Sparrow,Zonotrichia albicollis,White-throated Sparrow,Dead white-throated sparrow on the west side of Rosenthal in the driveway to the basement.
bsp2306888,2015-10-23,,39.951068,-75.20017,Домовый воробей,Passer domesticus,House Sparrow,Dead House sparrow on the west side of Rosenthal in the driveway to the basement.
bsp2312357,2015-10-26,2015-10-26 12:40:00 UTC,39.95083,-75.201531,White-throated Sparrow,Zonotrichia albicollis,White-throated Sparrow,Dead White-throated Sparrow found by SW corner of Ryan building by dog run.
bsp2319512,2015-10-28,2015-10-28 12:40:00 UTC,39.95106,-75.200165,White-throated Sparrow,Zonotrichia albicollis,White-throated Sparrow,"Dead white-throated sparrow in basement driveway on the west side of the Rosenthal building.  Body in good condition, but some ants present."
bsp3150650,2016-05-11,,39.954691,-75.19615,Gray Catbird,Dumetella carolinensis,Gray Catbird,"Two dead after striking the windows near the elevator banks. One lies on the east side, the other is on the west side just above the entrance."
bsp3150652,2016-05-10,,39.954691,-75.19615,Common Yellowthroat,Geothlypis trichas,Common Yellowthroat,Two dead after striking the windows near the elevator banks. Both are lying on the west side of the building above the entrance.
bsp3150667,2016-05-10,,39.954691,-75.19615,Ovenbird,Seiurus aurocapilla,Ovenbird,Two dead after striking the windows near the elevator bank on the west side of the building.
bsp3198511,2016-05-14,2016-05-14 20:00:00 UTC,39.953211,-75.198578,Perching Birds,Passeriformes,Perching Birds,"3 dead birds within 20' of each other on the 38th St side of the building. I patrol the building 2x a shift from 3pm-11pm,  they were not there the day prior.  This had to happen earlier in the day, sad. I have photos,  but don't see and option to upload them."
bsp5409842,2017-03-20,,39.951241,-75.197369,American Woodcock,Scolopax minor,American Woodcock,dead American Woodcock on Penn Campus adjacent to
bsp12680640,2018-05-21,2018-05-21 15:38:00 UTC,39.950778,-75.200753,Yellow Warbler,Setophaga petechia,Yellow Warbler,Dead male yellow warbler - window strike.
bsp15452922,2018-08-15,2018-08-15 17:33:26 UTC,39.9489866667,-75.1969383333,Gray Catbird,Dumetella carolinensis,Gray Catbird,Dead
bsp17621224,2018-10-18,,39.950401,-75.189178,Swamp Sparrow,Melospiza georgiana,Swamp Sparrow,"At Franklin Field, north side, there is a massive modern glass wall - the Weiss Pavilion. This bird evidently struck the glass; was lying dead on sidewalk."
bsp18173893,2018-11-06,2018-11-06 18:09:13 UTC,39.9614683333,-75.17275,American Woodcock,Scolopax minor,American Woodcock,Dead by Rodin Museum
bsp18290381,2018-11-09,2018-11-09 18:58:00 UTC,39.9477472222,-75.1954194444,White-throated Sparrow,Zonotrichia albicollis,White-throated Sparrow,Bird dead a base of windows at Abramson cafeteria.
bsp20805180,2018-11-07,2018-11-07 13:18:00 UTC,39.953342,-75.194355,Ruby-crowned Kinglet,Corthylio calendula,Ruby-crowned Kinglet,"From observer: ""I found another dead bird this morning between the Perelman Center for Political Science and Economics and the Franklin Building Annex.  Photos attached.  I would guess it’s a yellow-bellied flycatcher or a pine warbler."""
bsp21288608,2019-03-16,2019-03-16 16:26:08 UTC,39.9520378113,-75.1733703613,American Woodcock,Scolopax minor,American Woodcock,Dead on the street in Philly
bsp24290103,2019-05-01,2019-05-01 15:00:00 UTC,39.951128,-75.200216,Ovenbird,Seiurus aurocapilla,Ovenbird,Seiurus aurocapilla - Ovenbird  found dead from window strike - Rosenthal Building alley  Penn Vet 5-1-19
bsp24897293,2019-05-09,,39.951069,-75.200183,Black-and-white Warbler,Mniotilta varia,Black-and-white Warbler,Dead (window strike) black and white warbler (female?).
bsp25131341,2019-05-14,2019-05-14 21:49:23 UTC,39.9947478623,-75.2391261981,Common Yellowthroat,Geothlypis trichas,Common Yellowthroat,Dead by window.
bsp25456065,2019-05-20,,39.952604,-75.194967,Eastern Wood-Pewee,Contopus virens,Eastern Wood-Pewee,"dead. It had apparently struck the first floor window of the Annenberg Public Policy Center of the University of Pennsylvania, a glass structure located on the 36th St. Walk on Penn's campus."
bsp25832948,2019-01-11,,39.949788,-75.196365,Red-tailed Hawk,Buteo jamaicensis,Red-tailed Hawk,Dead red tailed hawk across from John Morgan Building with twisted neck
